x1,x2,y
82.74343617,68.32281451,0
14.43796797,54.71667654,
88.95058215,15.26426777,
78.28087791,26.31380608,
78.21011637,58.69490114,
92.15054909,16.23997611,
5.292937315,25.743086,
39.83207551,7.937005341,
33.51079896,14.35810513,
78.84935724,19.0456153,
63.77393708,54.20426395,
72.47922999,73.5534917,
93.09051904,33.44368717,
70.71909161,38.46104255,
16.65924206,43.60091223,
16.54665497,26.79225185,
68.05943956,34.87254273,
18.71508075,29.60820743,
47.26129079,4.797020677,
64.26159028,92.67306534,
97.06813897,90.76581947,
78.98813071,73.42226124,
57.24186338,67.81516145,
99.22453438,11.35369015,
17.08205305,51.30388626,
31.12722892,18.71469377,
31.86488896,17.57330517,
88.3827008,45.84107615,
27.56888339,11.98070228,
45.38554684,65.74633883,
91.80787034,17.31506054,
20.89983623,46.53681143,
72.33588283,71.23454072,
86.90450543,39.80280243,
27.97902968,5.501197664,
69.58484408,64.22591951,
19.5627569,46.02233969,
90.94851052,37.61290803,
97.77876428,28.49155658,
54.58510209,79.59172881,
22.09749235,10.46602152,
13.21649229,40.36230468,
77.84903599,10.62350516,
56.45621805,72.04639934,
87.30688387,61.72386135,
10.14130582,9.784473653,
7.100579613,33.08738516,
67.70352211,58.97751205,
41.19407947,87.66248642,
16.9814884,38.33604772,
89.42120941,86.3822425,
60.23783641,4.864916925,
87.99366945,13.32225048,
87.09461214,41.27457206,
42.0420114,18.33310323,
41.78364449,10.72228751,
26.79203424,9.162825037,
26.02190774,29.17486095,
85.93322728,47.59108683,
21.05714909,10.38270641,
88.00783251,25.38339681,
61.02111734,58.89970206,
99.16013212,15.95421822,
47.23013061,25.69610943,
90.22394058,4.143212285,
37.87604872,5.503796317,
21.30706179,21.48140552,
7.901255596,22.71562013,
25.65028569,16.8057309,
50.63070403,71.54731659,
74.53134126,94.67593748,
81.74333466,10.6934159,
26.11630131,36.65461251,
6.630590968,13.20297553,
94.06876941,50.29496217,
36.14315748,5.480447974,
75.46973833,80.80980435,
91.78420988,6.794783919,
95.96653115,41.05798718,
80.43908012,20.28965288,
98.94163222,19.5606731,
83.64202824,57.51638126,
94.65648122,81.23123682,
11.00031869,34.82905558,
24.49661775,23.33410333,
91.50432539,14.71507627,
10.58126546,36.50357056,
94.23312678,83.36551996,
5.309320779,53.59834661,
10.277591,31.14612736,
35.89603632,89.73217959,
43.21797235,92.76775421,
85.62088677,55.98665643,
23.46429455,23.79413429,
14.57355958,24.70775319,
92.17910898,52.15617793,
96.75965603,36.51993384,
71.51297664,53.08291088,
84.83645957,47.94678273,
48.64479198,84.03780931,
8.408174239,52.33132505,
10.42677247,17.62743988,
74.20985094,46.82493192,
64.02560114,84.78536095,
92.94314655,14.8065825,
6.991472992,63.75828056,
34.52806744,21.34257634,
71.35833873,20.53838904,
